20	30	20	10	5	5	
20	30	20	10	5	5	
20	30	19	9	5	5	
20	30	20	9	6	8	
19	30	19	8	6	5	
19	30	19	8	6	5	
19	31	19	8	8	5	
19	31	19	7	7	5	
20	31	19	8	8	5	
20	31	19	8	7	5	
20	31	19	8	7	5	
20	31	19	8	7	5	
20	31	19	8	7	5	
20	31	19	9	7	5	
20	31	19	9	7	5	
20	31	19	9	7	5	
22	34	17	10	9	4	
24	34	17	11	9	4	
26	36	17	11	14	5	
25	36	16	10	14	2	
25	38	19	14	15	2	
24	38	18	14	14	1	
26	39	18	20	15	2	
26	39	18	24	16	2	
25	39	16	24	16	1	
26	39	16	24	21	2	
26	39	16	23	19	0	
26	39	19	23	19	0		2018-04-11 10:25:25.773
26	38	19	23	19	0		2018-04-11 10:25:25.796
20	30	20	10	5	5		#refill
20	30	20	10	5	5		2018-04-11 14:02:43.619
20	30	22	13	5	6		2018-04-11 15:40:28.938
20	30	20	13	4	5		2018-04-11 15:40:28.970
20	30	23	13	4	5		2018-04-12 11:49:47.734
20	29	23	13	4	5		2018-04-12 11:49:47.743
20	29	26	13	4	5		2018-04-12 11:51:44.181
20	28	26	13	4	5		2018-04-12 11:51:44.188
20	37	27	15	4	5		12-04-2018 16:06:43
19	36	27	14	3	5		12-04-2018 16:06:43
25	36	29	14	4	5		12-04-2018 16:07:29
25	36	28	14	3	5		12-04-2018 16:07:29
25	41	31	15	3	5		12-04-2018 16:08:53
25	40	31	15	2	5		12-04-2018 16:08:53
25	40	31	21	4	5		12-04-2018 16:20:05
25	40	31	20	4	3		12-04-2018 16:20:05
27	40	37	20	4	3		12-04-2018 16:20:58
26	40	36	19	4	3		12-04-2018 16:20:58
26	41	36	19	5	3		13-04-2018 17:59:50
25	40	36	18	5	3		13-04-2018 17:59:50
25	40	36	18	5	5		13-04-2018 18:32:37
25	40	34	18	4	4		13-04-2018 18:32:37
29	40	34	19	4	4		13-04-2018 18:37:38
28	40	33	19	4	4		13-04-2018 18:37:38
29	40	33	19	5	4		13-04-2018 18:40:05
28	40	31	19	5	4		13-04-2018 18:41:38
28	40	31	19	6	4		13-04-2018 19:06:48
27	40	31	18	6	4		13-04-2018 19:06:48
27	40	31	18	8	4		13-04-2018 19:10:26
27	40	31	18	8	5		13-04-2018 19:12:40
27	40	31	21	8	6		13-04-2018 19:13:16
27	40	31	21	9	6		13-04-2018 19:14:24
27	40	31	21	10	6		13-04-2018 19:20:14
26	40	31	20	10	6		13-04-2018 19:20:14
26	40	31	20	12	6		13-04-2018 19:20:36
26	40	29	20	11	6		13-04-2018 19:20:36
26	40	31	21	11	6		13-04-2018 19:21:26
25	40	29	21	11	6		13-04-2018 19:21:26
25	40	29	23	11	6		13-04-2018 19:26:15
24	40	29	22	11	6		13-04-2018 19:26:23
24	40	29	22	12	6		13-04-2018 19:26:47
23	40	29	21	12	6		13-04-2018 19:27:35
23	40	29	21	16	6		13-04-2018 19:33:16
22	40	29	20	15	5		13-04-2018 19:34:19
22	40	30	21	15	5		13-04-2018 19:34:41
22	39	30	21	15	5		13-04-2018 19:39:28
22	40	33	21	15	5		13-04-2018 19:40:33
21	40	32	21	15	5		13-04-2018 19:40:33
21	40	32	21	16	5		13-04-2018 19:42:34
21	40	30	21	16	5		13-04-2018 19:42:34
21	40	30	21	17	5		13-04-2018 19:43:03
21	40	28	21	17	5		13-04-2018 19:43:03
21	40	28	21	18	5		13-04-2018 19:47:14
21	40	26	21	18	5		13-04-2018 19:47:14
21	40	26	21	19	5		13-04-2018 19:47:29
21	40	24	21	19	5		13-04-2018 19:47:29
21	40	24	21	20	5		13-04-2018 19:50:58
21	40	22	21	20	5		13-04-2018 19:50:58
21	40	22	21	21	5		13-04-2018 19:51:12
21	40	20	21	21	5		13-04-2018 19:51:12
